	LTHSC.1	LTHSC.2	LTHSC.3	LTHSC.4	LTHSC.5	LTHSC.6	LTHSC.7	LTHSC.8	LTHSC.9	LTHSC.10	LTHSC.11	LTHSC.12	LTHSC.13	LTHSC.14	LTHSC.15	LTHSC.16	LTHSC.17	LTHSC.18	LTHSC.19	LTHSC.20	LTHSC.21	LTHSC.22	LTHSC.23	LTHSC.24	LTHSC.25	LTHSC.26	LTHSC.27	LTHSC.28	LTHSC.29	LTHSC.30	LTHSC.31	LTHSC.32	LTHSC.33	LTHSC.34	LTHSC.35	LTHSC.36	LTHSC.37	LTHSC.38	LTHSC.39	LTHSC.40	LTHSC.41	LTHSC.42	LTHSC.43	LTHSC.44	LTHSC.45	LTHSC.46	LTHSC.47	LTHSC.48	LTHSC.49	LTHSC.50
Bhlhb9	8.74302868799027	6.68526924770316	1.48987351066953	0	0	8.13513149671844	0.781653072803016	7.5586337118146	2.7329629805251	7.53901350004875	3.26189780083642	8.7530705055104	2.82535958000413	2.39892540841496	0	7.89954721065092	9.01977014194829	2.46919695557795	1.57575220513395	0	4.54213623927897	0.865893632532943	2.50372924607337	6.09036128736386	8.66783505336953	1.81837632218652	8.08088408656692	2.09910560344277	8.80247031512603	7.03157968049271	3.21763433690368	2.14573540679245	0.460329275232209	0	8.17395024790679	8.34475466764089	2.07661281416441	0	0	1.15937522308033	9.37165761135969	3.18694160398455	7.41120520930311	1.18745050762379	1.76182146942908	8.72331866506744	1.22819786149267	2.0147484015161	1.22846814583548	10.1253745159311
Vcam1	0	1.685034616804	0	1.62499868303697	1.25442769904152	0	0.781653072803016	1.34858443435381	0	0	0.929387550053108	0	0	1.2778066084444	0	0	0	1.09378913138736	2.31086866317959	1.68808183436461	1.79807507476446	1.40323301959333	0	0.825123596197195	0.472094735381451	0	0.740755741907091	1.40174974791195	0	0.733277872112113	0	2.14573540679245	0	0	2.7561892619517	0	2.07661281416441	1.86692669209532	0	0	0	0	1.32046637386361	0	1.76182146942908	1.4079119309238	0	0	0	2.11478453105817
Mns1	3.07403307414711	4.89730115829559	0.680667469145265	3.22306342876753	3.21945500899127	6.64490864457622	1.6586907021871	10.2759424951344	0	2.27910764572517	1.89274151708825	2.6693794254446	2.33873940769807	1.94463403352079	0	5.42497044143828	1.27462243032525	1.70870699118727	0	2.93863203698588	0	7.12925337864341	5.71112185735373	6.20042902928451	4.04307166303426	1.81837632218652	1.88135290649277	0	1.58170064520745	9.79436633256226	3.99500359892111	0	1.0892048412023	2.0811255728358	6.18885914922825	0	0	0	0	0	1.2875062125702	0	4.12698536134536	1.18745050762379	0	0.869290379276498	1.88185381389216	1.33373885305582	1.22846814583548	1.07752860463315
Tbc1d5	7.13462505074127	0	1.77041664242067	0	1.25442769904152	3.87432860284166	0	1.11100858413192	2.7329629805251	4.99232482039631	0.538273609134536	0	1.59898549684941	0	7.80355415320557	4.67115218695177	1.64571659004074	7.45687314629937	1.57575220513395	0	6.18684155711125	1.40323301959333	3.37058158601849	1.72903517294323	0.472094735381451	1.33119171927287	1.59127389311726	2.56721816234535	0.997554300020128	0	1.41170848860352	2.14573540679245	0.460329275232209	2.0811255728358	5.15123213141017	0	0	6.54942514840577	7.39654363943149	0	0	0	0	0	0	0.869290379276498	1.88185381389216	0	0	1.07752860463315
Wdr75	0	6.33552113246373	8.92576014597457	6.62888563085508	1.62226850891575	2.96949480533823	8.04935591745362	8.59719097649844	1.52743676925729	7.87526259251842	6.62472196719469	2.48429759316252	5.69300052598424	2.39892540841496	7.93917665434369	0	1.94062151621886	7.05075512923738	7.73441993125935	9.18243175774918	9.10595601065126	1.40323301959333	7.04222712201543	1.34674341170981	0.472094735381451	1.59525175454499	2.12275714728188	1.40174974791195	2.58088402770009	8.05149359797852	7.02813365354844	0	7.38156379212321	2.0811255728358	1.95533016715751	7.68976081490047	0	1.86692669209532	7.87952200401011	1.15937522308033	7.38129721465193	7.11702300000857	1.9981726171971	0	6.73084979063961	1.4079119309238	2.94742457230315	2.0147484015161	7.1636712317778	2.11478453105817
Slc17a9	0	7.70911983574782	9.78727903602197	1.62499868303697	0.759464758228743	0	0	0	1.52743676925729	1.19193662255007	7.59056517094579	8.54397948987632	1.59898549684941	5.13720897546421	1.6790118967536	2.99884056522623	6.18343537226667	0	3.89397965465697	6.29975380901041	5.43023529995033	0.865893632532943	0	2.49316589672668	0.472094735381451	1.59525175454499	2.51029276240469	1.40174974791195	0.997554300020128	4.63498976918317	6.50252320944757	2.14573540679245	7.88438870713987	0	0	6.08864765822741	2.07661281416441	7.78624627675779	2.37498978149678	1.15937522308033	0	7.78059329109141	0	2.27276895989592	0	0	0	0	1.22846814583548	4.73007517177931
Bivm	0	0	0	0	1.25442769904152	0	0	0	0	1.83559438245591	0	7.28280260702992	0	5.45091488024073	0	0	0	5.03392877571958	0	8.4599243053634	0	2.35398405341526	1.73801023059881	6.62941819150821	0	0	4.79919296217412	0	0	4.23917811076179	1.41170848860352	0	0.460329275232209	0	0	0	2.89458771332169	0	0	3.26832171485857	0	0	1.32046637386361	1.18745050762379	0	0	0	8.07754977679935	0	1.07752860463315
Vps35	6.69227575158981	8.36146661958944	9.59261588991168	9.54539301178897	3.10793672009724	6.6933376173499	1.28581591341085	10.4172617268612	2.5126896502273	8.62236372882368	8.42729338595985	1.72150794335054	6.89117036803131	7.1788616057442	8.60201984614778	2.99884056522623	9.11332216732457	7.27863587775774	5.41275048366611	9.18793928535884	1.79807507476446	4.31591167231797	1.73801023059881	7.23560493168305	0.472094735381451	3.01348965439063	9.40961068697812	3.82148038443711	8.85930111491377	6.42271607902775	3.83634465131791	4.64248464646062	1.32390220265707	2.54771095367706	3.26815589228512	8.83218221222419	0	5.68098250565614	2.37498978149678	3.0706710817085	9.90367416955539	3.18694160398455	8.56362344860442	1.18745050762379	9.00205459257236	9.78652668191699	1.22819786149267	6.50322912326047	1.22846814583548	2.93781639405485
Slc18a1	0	0	0.680667469145265	0	0	0	0	0	1.9351195519303	1.19193662255007	0.538273609134536	0	0	0	2.43407340425286	0	1.27462243032525	1.09378913138736	0	0	0	0	0	0	0	0	0.740755741907091	2.09910560344277	1.58170064520745	0	0	0	0	0	0	0.895062630621889	0	0	2.37498978149678	0	1.2875062125702	0	0	1.18745050762379	0	1.79920853632109	0	0	0	0
Nek1	8.43189720977615	0	0	0	0	6.78557547569621	0.781653072803016	0.471609226479629	0.957072167664857	0	0.538273609134536	1.34020493637682	2.82535958000413	1.2778066084444	1.6790118967536	2.16889443877843	0.773724179706686	0	2.31086866317959	0	1.79807507476446	2.56920163266324	1.73801023059881	0.825123596197195	1.55366044529598	1.33119171927287	0.740755741907091	1.40174974791195	8.43391043166987	1.21712135679422	0	6.31793873121675	0	2.54771095367706	6.35023744810616	0.895062630621889	0	0	3.22876374456087	8.13457385813046	0	0	0	1.18745050762379	1.76182146942908	7.28174363779255	9.36106794181759	0	0	1.68743497995824
Fam107b	9.37925555858722	4.38814337874283	9.24959754070194	2.36983989453183	10.003428567532	6.74019356765702	5.81687264771487	6.80197889905548	3.50525917378798	8.51500656636392	9.84042103768723	9.43596309761314	10.5745991430637	4.17763138141081	8.98093245144534	8.7223389360247	10.5048190731698	8.97262862107253	9.04958348274183	10.3280889841061	8.96286535650063	3.64553504551836	8.65373585962548	8.24555855590926	5.92164569427235	8.47069005249272	10.3992603064079	4.93356943135763	10.0997076545455	8.29609403008374	5.71358952517275	10.7571522613248	10.8844965150889	10.1487455476495	8.92038811479141	9.8086386435378	7.57645612825922	10.2067776377694	5.27373568229984	8.50652733423603	9.9379902348164	8.69504020361824	9.04059488231244	9.30979367129268	8.94719740120601	1.4079119309238	9.66774791348582	9.68316528187002	2.33042696284621	3.5974331454185
Pld3	1.31280947006219	0	1.48987351066953	0	1.25442769904152	5.50500244221558	0.781653072803016	0	5.20053220521588	0	0.929387550053108	8.20140668045704	5.44676392122871	2.39892540841496	2.43407340425286	2.16889443877843	1.27462243032525	9.43896010340006	2.31086866317959	5.64068335109678	1.79807507476446	0.865893632532943	2.50372924607337	4.8852039830411	0.472094735381451	1.59525175454499	1.59127389311726	2.56721816234535	7.68861509446589	0	7.31060771078503	7.73715282072288	0.460329275232209	2.54771095367706	2.7561892619517	9.12210278798363	2.07661281416441	6.70396370515406	2.37498978149678	2.23291253941243	0	3.18694160398455	1.32046637386361	7.7523462227679	7.6572530890422	9.91439558869936	9.92052662784477	8.06940618933268	7.31737018498778	8.37944295169945
Rab11fip4	0	0	0.680667469145265	0	0	0	0	0.471609226479629	0	0	0	0.820433392630413	0	0	0	0	0	0	0	0	0	0.865893632532943	0	0	0	0	0	0	0	0	0	0	0.460329275232209	2.89970625088964	0	0	0	0	0	1.15937522308033	0	0	6.74577851343854	1.18745050762379	0	0	0	0	0	1.07752860463315
Atp1b2	3.50966280933444	2.44120783052644	0	3.51375527977252	2.3665809245598	4.82428296073646	2.59304217665133	10.1357182967658	0	1.19193662255007	1.49002307987507	1.72150794335054	1.59898549684941	0	0	1.45858848576747	3.01734731858817	3.4865918774498	0	1.68808183436461	0	2.92214941082379	0	0	1.11194349975667	3.18362776365175	0.740755741907091	2.09910560344277	1.99632989351199	8.84357257480243	3.65805641709334	0	1.0892048412023	2.0811255728358	0	0	0	1.86692669209532	3.22876374456087	2.23291253941243	0	0	0	1.82984885974111	1.76182146942908	0.869290379276498	2.3300491857154	2.0147484015161	0	2.93781639405485
Ankrd6	0	0	0	0	0	0	0	0	0	0	0	0.820433392630413	0	0	0	0	0	0	0	0	0	0.865893632532943	8.83437885000091	0	0.472094735381451	0	0	0	0	0	0	0	0	4.34966482894625	0	0.895062630621889	0	0	2.37498978149678	1.15937522308033	0	0	0	0	0	0.869290379276498	0	0	0	0
Wdr36	8.56223902191389	8.56083640826192	1.48987351066953	1.62499868303697	2.98707060848504	8.23666118395304	0.781653072803016	8.0545169361075	0.957072167664857	6.46519521201917	2.68410148898007	0	5.22987394230017	2.74390318591845	7.21470513227326	0	8.57511230984355	3.62566640686079	5.03097780867472	3.30584210941915	7.52622049979871	2.75644206519869	1.73801023059881	7.61076705811528	2.03455958887331	8.62639209607965	8.72253437125192	3.44006328385141	7.57255894948659	1.86775714163276	2.58052211059109	4.17997983061611	2.81017424979635	0	7.05950829431197	1.44327841884737	0	8.08241427067811	6.40508068211187	0	2.4122862272436	3.71810681402877	1.32046637386361	8.83626245686723	9.04840103938834	9.0320868997615	1.22819786149267	1.33373885305582	6.88089010157772	2.11478453105817
Zfp758	0	0	8.84483932875019	1.62499868303697	0	0	2.75548502288483	0	0	1.19193662255007	0	1.34020493637682	7.09764498822749	0	0	0	7.97450719406203	1.70870699118727	3.15763149429504	0	1.79807507476446	2.35398405341526	0	0	0.827204512593852	0	0.740755741907091	0	0	0	0	0	7.10655259828654	0	8.36237047156563	1.44327841884737	0	1.86692669209532	0	0	8.3325101202249	2.33725204080983	0	0	1.76182146942908	0	1.22819786149267	0	1.22846814583548	1.68743497995824
Gja1	0	2.44120783052644	1.48987351066953	2.85862886956595	1.25442769904152	2.96949480533823	1.95471674556488	1.5525131292091	1.52743676925729	4.87090849343869	0.929387550053108	0.820433392630413	2.33873940769807	0	1.6790118967536	1.45858848576747	8.12878438872858	2.13849211172478	6.85664596627732	2.93863203698588	0	4.48440710682487	2.50372924607337	2.03095302117922	1.34964167848499	2.0115702661289	5.66271172286792	0	1.99632989351199	0	0	2.14573540679245	1.0892048412023	1.38718940125449	0	0	2.07661281416441	0	0	2.8415774560086	0	2.33725204080983	1.32046637386361	1.82984885974111	3.03100350382791	2.76284820196701	1.88185381389216	0	2.94783499464083	8.17845877776089
9030619P08Rik	1.31280947006219	0	8.24910977921273	1.62499868303697	1.25442769904152	2.14284130078266	9.91592652219626	0.471609226479629	6.92475140283332	4.51336859158284	7.16898133395624	1.72150794335054	3.9264848464771	2.39892540841496	4.03690764778766	4.76690783104572	1.27462243032525	1.09378913138736	7.1258123727042	3.84133710874188	5.72870265161335	0	0	3.89630698361055	6.10321140442567	1.33119171927287	0	2.56721816234535	8.18987803805271	0.733277872112113	8.40831347813773	8.24038895308175	0.80876527462135	2.0811255728358	7.53290123816952	1.44327841884737	6.98308623925144	7.11553749367369	2.37498978149678	2.56910876176759	7.81893331859168	3.71810681402877	0	2.27276895989592	0	1.79920853632109	0	2.0147484015161	2.671909805641	1.07752860463315
